word,meaning,examples
180° Rule,"Imaginary line for consistent screen di-
 rection","['Two actors facing, camera stays one side']"
3-Act Structure,"Setup, confrontation, resolution",['Act I: Ordinary world → Act II: Conflict → Act III: Resolution']
5-Act Structure,Expanded version of 3-act,['Exposition → Rising action → Climax → Falling action → Resolution']
5W’s,"The five questions to define a character
 or scene: Who, What, When, Where, Why","['Who is the character?','What do they want?','When is the scene set?','Where is it taking place?','Why are they there?']"
"ADR (Auto-
 mated Dialogue Replacement)",Re-recording dialogue in studio,['Actor re-records lines to match lip sync in post-production']
Accountability,"Each member owns their part of the
 work",['The director is accountable for the creative vision']
Action,"What’s happening, or about to hap-
 pen?",['A car chase is about to begin']
Action Line,Description of what’s happening,['He drops the glass. It shatters.']
Action Lines,"Description of setting, movement, or
 atmosphere in the script","['The room is dimly lit, shadows dancing on the walls as the door creaks open']"
"Actuality Re-
 port",Written observation of real events,['Write about bus stop events']
Adaptability,"Willingness to adjust roles and strate-
 gies as needs change",['The team adjusts the shooting schedule due to unexpected rain']
Ambient Sound,Background sounds that set space,"['Birds in park','chatter in café']"
Ambiguity,"Are there open questions the picture
 leaves you with?",['The ending leaves the audience wondering if the event was real or a dream']
Animation,"Films created through frame-by-frame
 techniques (2D, 3D, stop-motion)","['Spirited Away (Japan)','Baahubali: The Lost Legends (India)']"
Antagonist,"Character or force opposing the protag-
 onist",['The evil wizard who opposes the hero’s quest']
Arc,"Transformation of a character or narra-
 tive over time",['The character’s arc from coward to hero']
"Arc (Charac-
 ter/Story)",Transformation across the narrative,['The story arc from introduction to resolution']
Aspect Ratio,"Shape of the screen (e.g., 16:9, 4:3, Cin-
 emaScope)","['16:9','4:3','CinemaScope']"
"Audience Posi-
 tion","Does the picture invite you in, or keep
 you at a distance?",['The close-up shot invites the audience to feel the character’s emotion']
"Audiovisual
 Counterpoint","When image and sound intentionally
 conflict to create new meaning",['Joyful music playing over a tragic scene to highlight irony']
Auteur,"Director whose personal style shapes
 the entire film","['Alfred Hitchcock, known for his suspenseful style']"
Backstory,"Events that shape a character before
 the film begins",['The character’s childhood trauma explains their fear of heights']
Balance,"Equal distribution of visual weight in
 frame",['Symmetrical doorway framing']
"Balance / Sym-
 metry","Is the image centred, or asymmetrical
 for tension?",['The asymmetrical composition creates tension in the scene']
Beat,Small unit of action in a scene,['Silence before a confession']
Beat Change,"A shift in intention, mood, or focus",['The mood shifts from joy to sorrow when the news arrives']
Beat Sheet,List of major story beats,['Inciting → Midpoint → Climax']
Blocking,Planned actor movement in a scene,['Actor walks from window to chair']
"Blocking Re-
 hearsal",Technical walk-through of movements,['Actors practice their positions and movements on set before shooting']
Brainstorming,Generating multiple ideas quickly,['What if phones could talk?']
"Breaking the
 Fourth Wall","When characters acknowledge the au-
 dience",['Actor looks at camera knowingly']
Business,"Small physical actions that make per-
 formance natural","['Pouring tea','adjusting a tie']"
Call Sheet,Daily schedule for cast and crew,"['A document listing call times, scenes, and locations for the day']"
Camera Angle,"Position of camera relative to subject
 (high angle, low angle, eye-level)","['high angle','low angle','eye-level']"
Case Study,Focused analysis of filmmaker’s work,['Study of Hitchcock suspense']
Center Framing,Subject placed at center of frame,['Symmetry in classroom shot']
Character,People who drive story,['Timid student becomes leader']
Character Arc,"The emotional or psychological trans-
 formation of a character",['A villain redeems themselves by the end of the story']
"Characters /
 Objects",Who or what is in focus?,['The mysterious locket in the character’s hand']
Chekhov’s Gun,"Principle that every element must serve
 a purpose","['Gun shown, fired later']"
